codigo_destino,aeroporto_destino
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
SBGL,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM (GIG) - RIO DE JANEIRO - RJ - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
KDFW,"DALLAS-FORT WORTH INTERNATIONAL AIRPORT (DFW) - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA"
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBEG,EDUARDO GOMES (MAO) - MANAUS - AM - BRASIL
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
SBGL,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM (GIG) - RIO DE JANEIRO - RJ - BRASIL
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
KJFK,"JOHN F. KENNEDY INTERNATIONAL AIRPORT (JFK) - NEW YORK, NEW YORK - ESTADOS UNIDOS DA AMÉRICA"
KDFW,"DALLAS-FORT WORTH INTERNATIONAL AIRPORT (DFW) - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA"
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
KDFW,"DALLAS-FORT WORTH INTERNATIONAL AIRPORT (DFW) - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA"
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
KDFW,"DALLAS-FORT WORTH INTERNATIONAL AIRPORT (DFW) - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA"
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBEG,EDUARDO GOMES (MAO) - MANAUS - AM - BRASIL
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
KMIA,"MIAMI INTERNATIONAL AIRPORT (MIA) - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA"
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
CYUL,"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT (YUL) - MONTREAL, QUEBEC - CANADÁ"
CYUL,"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT (YUL) - MONTREAL, QUEBEC - CANADÁ"
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
CYYZ,TORONTO PEARSON INTERNATIONAL AIRPORT (YYZ) - TORONTO - CANADÁ
SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (GRU) - GUARULHOS - SP - BRASIL
CYUL,"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT (YUL) - MONTREAL, QUEBEC - CANADÁ"
